Salário,Idade,Formação,Sexo,Raça
4934.15,52,Graduação,Masculino,Pardo
9211.54,52,Graduação,Masculino,Branco
6744.15,23,Graduação,Masculino,Branco
7726.52,28,Pós-Graduação,Masculino,Negro
5734.54,46,Graduação,Feminino,Negro
3917.22,46,Ensino Médio,Feminino,Branco
6297.5,46,Graduação,Feminino,Branco
6588.77,70,Ensino Médio,Masculino,Asiático
3253.38,46,Ensino Fundamental,Masculino,Branco
17044.75,53,Doutorado,Masculino,Pardo
8771.74,51,Graduação,Masculino,Negro
10067.65,47,Pós-Graduação,Masculino,Branco
6578.2,36,Graduação,Masculino,Branco
5776.4,49,Graduação,Masculino,Branco
15186.72,30,Doutorado,Feminino,Branco
5027.23,37,Graduação,Feminino,Pardo
5226.04,34,Ensino Médio,Masculino,Branco
6371.84,40,Pós-Graduação,Masculino,Indígena
11572.84,67,Mestrado,Feminino,Negro
6689.35,18,Graduação,Feminino,Branco
3507.44,48,Ensino Médio,Masculino,Pardo
2422.61,20,Ensino Médio,Masculino,Branco
1913.44,34,Ensino Médio,Feminino,Pardo
4466.02,53,Ensino Médio,Feminino,Negro
5609.67,40,Graduação,Masculino,Branco
5467.61,27,Graduação,Masculino,Branco
10931.49,31,Mestrado,Masculino,Pardo
6103.66,48,Graduação,Feminino,Pardo
9291.62,31,Mestrado,Masculino,Negro
3103.65,42,Ensino Médio,Masculino,Negro
1986.36,40,Ensino Fundamental,Feminino,Branco
7108.95,32,Pós-Graduação,Masculino,Negro
13018.29,65,Pós-Graduação,Masculino,Branco
6257.39,47,Graduação,Feminino,Branco
5592.42,18,Graduação,Feminino,Pardo
3454.79,42,Ensino Médio,Masculino,Indígena
3180.67,32,Ensino Médio,Masculino,Branco
9681.08,50,Pós-Graduação,Masculino,Branco
9090.55,30,Mestrado,Feminino,Indígena
10703.28,38,Doutorado,Feminino,Indígena
8417.05,46,Graduação,Masculino,Branco
7149.41,50,Graduação,Masculino,Pardo
7061.15,25,Graduação,Feminino,Branco
11052.45,35,Mestrado,Feminino,Negro
3977.98,34,Graduação,Feminino,Negro
7646.73,32,Mestrado,Masculino,Negro
10390.75,61,Pós-Graduação,Masculino,Branco
3389.24,44,Ensino Médio,Feminino,Branco
1437.49,24,Ensino Fundamental,Feminino,Pardo
12883.24,51,Doutorado,Feminino,Negro
5778.31,65,Graduação,Masculino,Branco
3677.62,52,Ensino Médio,Feminino,Pardo
9952.7,21,Pós-Graduação,Masculino,Branco
3077.57,34,Ensino Médio,Masculino,Branco
7460.15,55,Graduação,Masculino,Branco
5419.13,31,Graduação,Masculino,Branco
2719.48,45,Ensino Médio,Masculino,Negro
5608.05,49,Graduação,Masculino,Branco
10056.98,28,Mestrado,Masculino,Negro
11914.47,39,Mestrado,Feminino,Pardo
4093.23,18,Graduação,Feminino,Pardo
1770.26,27,Ensino Fundamental,Feminino,Negro
6710.4,36,Graduação,Masculino,Pardo
2830.22,25,Graduação,Masculino,Negro
17467.03,59,Doutorado,Masculino,Branco
6951.53,22,Graduação,Masculino,Branco
5331.85,34,Graduação,Feminino,Branco
10912.42,41,Mestrado,Masculino,Asiático
6351.56,57,Graduação,Masculino,Pardo
11138.49,22,Doutorado,Feminino,Branco
4424.18,53,Graduação,Feminino,Branco
9801.62,40,Pós-Graduação,Masculino,Branco
10613.69,28,Pós-Graduação,Masculino,Indígena
14605.54,45,Mestrado,Feminino,Asiático
3598.39,42,Ensino Médio,Feminino,Branco
15795.21,32,Doutorado,Feminino,Negro
7189.97,40,Pós-Graduação,Feminino,Negro
4358.25,35,Ensino Médio,Masculino,Branco
4790.83,41,Pós-Graduação,Feminino,Negro
6049.7,47,Pós-Graduação,Feminino,Pardo
5435.02,59,Ensino Médio,Masculino,Branco
2959.96,25,Ensino Médio,Masculino,Branco
4053.07,65,Ensino Médio,Feminino,Branco
5602.67,18,Graduação,Feminino,Branco
11450.67,38,Pós-Graduação,Feminino,Branco
3845.34,47,Graduação,Feminino,Negro
2102.53,43,Ensino Médio,Feminino,Branco
5868.12,32,Graduação,Feminino,Branco
8003.46,37,Pós-Graduação,Feminino,Pardo
2731.41,34,Ensino Médio,Feminino,Pardo
7931.42,32,Graduação,Masculino,Branco
6137.58,50,Graduação,Feminino,Pardo
5268.29,44,Graduação,Masculino,Branco
4146.84,31,Graduação,Feminino,Branco
14076.32,50,Mestrado,Feminino,Branco
14771.56,43,Doutorado,Feminino,Pardo
7397.94,49,Pós-Graduação,Masculino,Branco
4089.99,47,Ensino Médio,Masculino,Branco
4976.24,30,Ensino Médio,Masculino,Asiático
3392.04,33,Ensino Médio,Feminino,Branco
4369.02,48,Ensino Médio,Masculino,Asiático
12232.89,47,Mestrado,Masculino,Branco
3537.09,39,Ensino Médio,Feminino,Negro
3528.41,41,Graduação,Feminino,Indígena
8252.55,55,Graduação,Feminino,Branco
11185.85,32,Pós-Graduação,Masculino,Branco
5762.96,46,Graduação,Masculino,Indígena
6712.08,37,Graduação,Masculino,Branco
4177.33,37,Ensino Médio,Feminino,Negro
5453.1,53,Graduação,Masculino,Branco
3762.52,49,Ensino Médio,Feminino,Branco
7876.88,49,Graduação,Masculino,Asiático
9663.0,55,Pós-Graduação,Feminino,Negro
9892.95,40,Mestrado,Masculino,Negro
5643.38,48,Graduação,Masculino,Pardo
5798.6,36,Pós-Graduação,Feminino,Indígena
1674.35,43,Ensino Médio,Feminino,Branco
5405.08,38,Graduação,Feminino,Branco
3861.95,41,Ensino Médio,Feminino,Branco
10201.96,47,Doutorado,Masculino,Negro
6553.41,30,Graduação,Masculino,Branco
6444.97,65,Ensino Médio,Masculino,Pardo
8610.24,27,Pós-Graduação,Masculino,Branco
5854.74,25,Graduação,Feminino,Branco
3568.91,53,Ensino Médio,Masculino,Negro
9077.65,49,Pós-Graduação,Feminino,Branco
8324.2,47,Graduação,Masculino,Negro
7968.62,47,Pós-Graduação,Feminino,Indígena
11190.41,39,Pós-Graduação,Feminino,Branco
3231.87,29,Graduação,Masculino,Pardo
6021.79,40,Pós-Graduação,Feminino,Pardo
10406.15,31,Mestrado,Feminino,Branco
7344.28,51,Graduação,Feminino,Negro
15567.51,38,Doutorado,Feminino,Branco
2901.67,30,Ensino Médio,Masculino,Negro
11902.49,36,Doutorado,Masculino,Pardo
2432.68,44,Ensino Médio,Feminino,Negro
4702.79,33,Graduação,Feminino,Pardo
6570.79,30,Graduação,Feminino,Branco
2737.14,42,Ensino Médio,Masculino,Negro
2400.1,42,Ensino Médio,Feminino,Branco
11595.4,33,Pós-Graduação,Masculino,Branco
3656.6,34,Ensino Médio,Masculino,Branco
1975.33,42,Ensino Fundamental,Feminino,Indígena
5842.28,22,Pós-Graduação,Masculino,Indígena
14015.57,23,Doutorado,Masculino,Pardo
6076.02,31,Graduação,Masculino,Branco
4692.95,37,Graduação,Masculino,Negro
2404.7,43,Ensino Médio,Feminino,Pardo
12401.46,57,Mestrado,Masculino,Pardo
1873.45,50,Ensino Médio,Feminino,Pardo
6002.23,38,Graduação,Feminino,Branco
13258.94,39,Doutorado,Masculino,Branco
5169.68,27,Graduação,Masculino,Asiático
2611.73,39,Ensino Médio,Feminino,Branco
3250.6,36,Ensino Médio,Masculino,Pardo
2385.67,43,Ensino Médio,Masculino,Branco
7589.38,30,Graduação,Feminino,Branco
8533.35,46,Graduação,Masculino,Branco
7055.81,58,Graduação,Feminino,Pardo
1715.58,38,Graduação,Feminino,Pardo
2818.11,44,Ensino Médio,Masculino,Pardo
7713.55,48,Graduação,Masculino,Pardo
7900.31,35,Doutorado,Feminino,Branco
6350.34,42,Graduação,Masculino,Negro
6985.08,40,Graduação,Feminino,Asiático
3248.7,41,Ensino Médio,Feminino,Branco
2489.9,30,Ensino Médio,Masculino,Branco
3516.54,40,Ensino Médio,Masculino,Pardo
4113.01,45,Ensino Médio,Masculino,Pardo
7895.3,57,Graduação,Masculino,Branco
4204.17,51,Graduação,Masculino,Branco
19786.85,65,Doutorado,Masculino,Pardo
14419.68,30,Doutorado,Masculino,Branco
8420.91,50,Graduação,Masculino,Pardo
4321.5,42,Ensino Médio,Masculino,Negro
7055.34,66,Graduação,Feminino,Negro
6118.44,30,Mestrado,Feminino,Branco
5542.84,29,Graduação,Masculino,Negro
5812.41,32,Graduação,Masculino,Negro
3370.44,18,Graduação,Masculino,Asiático
2766.65,33,Ensino Médio,Masculino,Indígena
4876.28,30,Graduação,Feminino,Branco
2896.37,41,Ensino Médio,Feminino,Branco
9534.68,44,Mestrado,Feminino,Branco
3653.88,62,Ensino Médio,Feminino,Branco
3464.69,51,Ensino Médio,Masculino,Pardo
10771.1,33,Mestrado,Masculino,Asiático
8632.49,29,Mestrado,Masculino,Indígena
9633.78,45,Pós-Graduação,Masculino,Negro
8870.25,24,Doutorado,Feminino,Branco
4495.31,61,Ensino Médio,Feminino,Negro
8791.91,54,Pós-Graduação,Masculino,Branco
3227.13,34,Ensino Médio,Masculino,Branco
3062.86,19,Graduação,Masculino,Negro
3332.5,56,Ensino Médio,Feminino,Pardo
13093.4,38,Mestrado,Feminino,Pardo
2817.98,54,Ensino Médio,Masculino,Branco
7284.25,20,Graduação,Masculino,Asiático
7517.34,32,Pós-Graduação,Feminino,Branco
11703.52,40,Pós-Graduação,Masculino,Negro
6845.32,40,Graduação,Masculino,Asiático
7500.06,34,Pós-Graduação,Masculino,Branco
3289.1,47,Ensino Médio,Masculino,Branco
2168.65,27,Ensino Fundamental,Feminino,Branco
2674.91,38,Ensino Médio,Feminino,Branco
10820.88,41,Pós-Graduação,Feminino,Branco
6635.62,46,Graduação,Masculino,Pardo
7586.13,48,Graduação,Feminino,Branco
3510.39,26,Ensino Médio,Masculino,Negro
2068.93,21,Ensino Médio,Feminino,Branco
8405.98,55,Graduação,Feminino,Branco
5487.84,43,Graduação,Feminino,Branco
1200.0,31,Ensino Fundamental,Feminino,Indígena
4303.89,58,Ensino Médio,Masculino,Branco
6649.8,41,Pós-Graduação,Feminino,Branco
7352.51,54,Graduação,Masculino,Branco
9177.07,40,Graduação,Masculino,Branco
8202.53,64,Graduação,Feminino,Branco
3740.38,61,Ensino Médio,Masculino,Pardo
1812.53,37,Ensino Fundamental,Masculino,Branco
5470.13,51,Graduação,Masculino,Pardo
3224.29,47,Graduação,Feminino,Asiático
7819.51,56,Graduação,Masculino,Asiático
6523.51,28,Graduação,Feminino,Asiático
8605.89,48,Pós-Graduação,Feminino,Branco
10190.13,52,Mestrado,Masculino,Pardo
2335.61,18,Ensino Médio,Masculino,Negro
3792.57,25,Graduação,Masculino,Negro
1401.08,18,Ensino Fundamental,Masculino,Negro
6317.37,36,Graduação,Feminino,Pardo
4824.91,48,Graduação,Masculino,Branco
7380.36,58,Graduação,Feminino,Branco
1894.23,40,Ensino Médio,Masculino,Negro
11899.78,59,Pós-Graduação,Feminino,Branco
8762.12,23,Pós-Graduação,Feminino,Indígena
1350.21,19,Ensino Médio,Feminino,Branco
2061.17,39,Ensino Fundamental,Feminino,Branco
3615.47,44,Ensino Médio,Masculino,Negro
8090.77,39,Graduação,Masculino,Branco
12063.98,18,Pós-Graduação,Masculino,Branco
8871.49,38,Pós-Graduação,Feminino,Pardo
3567.9,24,Graduação,Masculino,Branco
7882.74,48,Pós-Graduação,Feminino,Pardo
7086.97,44,Graduação,Feminino,Branco
5304.55,28,Graduação,Masculino,Branco
9229.82,33,Pós-Graduação,Masculino,Pardo
3924.95,27,Graduação,Feminino,Negro
7193.41,39,Graduação,Masculino,Branco
5574.89,51,Graduação,Feminino,Branco
13637.56,28,Mestrado,Masculino,Branco
7519.04,46,Graduação,Masculino,Branco
2179.06,33,Ensino Médio,Feminino,Indígena
16976.17,30,Mestrado,Masculino,Branco
3163.69,38,Ensino Médio,Masculino,Indígena
2035.05,27,Ensino Fundamental,Masculino,Negro
2462.01,33,Ensino Médio,Feminino,Asiático
2250.51,25,Ensino Médio,Feminino,Branco
7117.53,63,Graduação,Feminino,Negro
16470.01,40,Mestrado,Masculino,Asiático
2573.06,31,Ensino Médio,Masculino,Asiático
4023.29,42,Ensino Médio,Feminino,Branco
3555.86,38,Ensino Médio,Masculino,Branco
3071.55,37,Ensino Médio,Feminino,Pardo
11656.38,47,Mestrado,Masculino,Pardo
5237.54,49,Graduação,Feminino,Branco
3196.6,33,Ensino Médio,Feminino,Branco
4793.24,33,Ensino Médio,Masculino,Branco
5211.19,36,Graduação,Feminino,Negro
1621.81,18,Ensino Médio,Feminino,Branco
6727.92,21,Graduação,Feminino,Pardo
14492.87,56,Mestrado,Masculino,Branco
12648.61,59,Mestrado,Masculino,Pardo
3377.94,37,Ensino Médio,Masculino,Branco
10408.14,46,Pós-Graduação,Masculino,Branco
5276.72,43,Graduação,Feminino,Pardo
7988.36,70,Graduação,Masculino,Branco
6146.68,53,Graduação,Feminino,Branco
6639.84,38,Graduação,Masculino,Negro
5505.97,28,Pós-Graduação,Feminino,Negro
3357.14,20,Graduação,Masculino,Branco
6518.89,42,Pós-Graduação,Feminino,Pardo
12007.18,30,Mestrado,Masculino,Branco
2005.27,22,Ensino Médio,Feminino,Branco
4689.06,32,Graduação,Feminino,Pardo
2664.11,27,Ensino Fundamental,Masculino,Pardo
6528.12,60,Graduação,Masculino,Pardo
6858.91,50,Graduação,Masculino,Pardo
8256.11,39,Pós-Graduação,Feminino,Branco
8778.3,57,Graduação,Feminino,Branco
10952.4,40,Mestrado,Masculino,Branco
6039.41,29,Graduação,Masculino,Branco
8213.27,58,Graduação,Feminino,Branco
2598.26,46,Ensino Médio,Masculino,Pardo
2471.38,27,Ensino Médio,Feminino,Branco
4379.77,37,Graduação,Masculino,Branco
8525.23,29,Graduação,Masculino,Branco
4856.2,23,Graduação,Masculino,Branco
6745.15,51,Graduação,Feminino,Branco
7018.0,62,Graduação,Masculino,Branco
6210.81,23,Graduação,Feminino,Asiático
4199.37,46,Ensino Médio,Feminino,Branco
2531.22,32,Ensino Médio,Feminino,Branco
4966.17,34,Graduação,Masculino,Branco
3563.42,32,Ensino Médio,Feminino,Pardo
4523.89,29,Graduação,Feminino,Branco
9284.84,40,Pós-Graduação,Masculino,Asiático
5061.07,30,Graduação,Feminino,Branco
5395.37,43,Graduação,Feminino,Branco
11256.97,39,Doutorado,Feminino,Negro
5431.13,37,Graduação,Masculino,Pardo
1554.57,29,Ensino Fundamental,Feminino,Branco
13386.96,33,Mestrado,Masculino,Branco
2514.41,49,Ensino Médio,Feminino,Branco
5569.68,46,Graduação,Feminino,Branco
10726.57,28,Mestrado,Feminino,Branco
8651.51,41,Pós-Graduação,Masculino,Asiático
7388.39,49,Pós-Graduação,Masculino,Indígena
3775.21,19,Graduação,Feminino,Indígena
5771.32,46,Graduação,Masculino,Branco
3892.72,32,Ensino Médio,Masculino,Branco
8074.31,46,Graduação,Feminino,Branco
10558.83,30,Pós-Graduação,Feminino,Branco
7560.16,18,Graduação,Feminino,Branco
11135.23,20,Mestrado,Feminino,Negro
3980.02,40,Ensino Médio,Masculino,Branco
3624.71,43,Ensino Médio,Masculino,Branco
3525.65,29,Ensino Médio,Masculino,Negro
10659.57,47,Mestrado,Feminino,Pardo
1387.35,20,Ensino Médio,Feminino,Negro
2183.44,39,Ensino Médio,Feminino,Branco
6306.39,25,Pós-Graduação,Masculino,Indígena
2403.06,32,Graduação,Feminino,Negro
2863.01,40,Ensino Médio,Masculino,Negro
6372.01,29,Pós-Graduação,Feminino,Branco
3050.79,35,Ensino Médio,Feminino,Branco
2515.8,52,Ensino Fundamental,Feminino,Negro
1536.51,33,Ensino Fundamental,Masculino,Negro
4112.74,50,Ensino Médio,Masculino,Branco
9154.37,26,Pós-Graduação,Feminino,Branco
6256.15,46,Graduação,Feminino,Pardo
4952.97,57,Graduação,Feminino,Branco
4646.17,18,Pós-Graduação,Feminino,Branco
4196.62,30,Graduação,Masculino,Branco
13649.12,46,Mestrado,Masculino,Branco
2465.46,37,Ensino Fundamental,Masculino,Branco
2771.97,44,Ensino Médio,Masculino,Branco
11633.37,32,Mestrado,Feminino,Indígena
13953.76,41,Doutorado,Feminino,Pardo
4154.41,38,Ensino Médio,Masculino,Branco
3390.13,54,Ensino Fundamental,Feminino,Branco
1929.14,43,Ensino Fundamental,Masculino,Negro
1404.79,44,Ensino Fundamental,Feminino,Negro
4635.78,35,Graduação,Masculino,Asiático
2397.06,34,Ensino Médio,Feminino,Pardo
4471.76,34,Graduação,Feminino,Pardo
4805.43,44,Graduação,Masculino,Branco
2405.07,34,Ensino Médio,Feminino,Pardo
3055.91,43,Ensino Médio,Masculino,Negro
5223.35,64,Graduação,Feminino,Indígena
3488.78,50,Ensino Médio,Feminino,Pardo
6107.91,36,Graduação,Feminino,Branco
6221.77,54,Graduação,Feminino,Pardo
2758.77,35,Ensino Médio,Feminino,Negro
1550.31,18,Ensino Médio,Masculino,Negro
3188.82,27,Graduação,Masculino,Pardo
4558.67,18,Graduação,Feminino,Negro
9896.91,35,Pós-Graduação,Masculino,Negro
6585.76,40,Graduação,Feminino,Branco
6259.73,60,Graduação,Masculino,Branco
2924.52,43,Ensino Médio,Masculino,Branco
3234.33,37,Graduação,Masculino,Negro
7895.6,49,Graduação,Feminino,Branco
2750.48,18,Ensino Médio,Feminino,Pardo
10561.65,42,Pós-Graduação,Masculino,Indígena
13922.0,49,Mestrado,Masculino,Indígena
15855.34,22,Doutorado,Feminino,Branco
9822.34,53,Pós-Graduação,Masculino,Branco
6212.44,44,Pós-Graduação,Masculino,Branco
1200.0,35,Ensino Médio,Feminino,Branco
6995.33,47,Graduação,Masculino,Branco
6698.1,67,Pós-Graduação,Feminino,Indígena
2589.37,42,Ensino Fundamental,Masculino,Branco
3361.09,42,Ensino Médio,Feminino,Pardo
6542.59,34,Graduação,Feminino,Branco
5193.35,29,Graduação,Feminino,Negro
4093.19,49,Graduação,Masculino,Branco
2215.94,29,Ensino Médio,Masculino,Branco
2645.14,40,Ensino Médio,Feminino,Branco
9582.05,34,Pós-Graduação,Masculino,Branco
6501.98,45,Pós-Graduação,Feminino,Branco
6556.03,44,Graduação,Feminino,Negro
15823.44,52,Mestrado,Masculino,Asiático
3123.59,33,Ensino Médio,Masculino,Pardo
5106.55,36,Graduação,Masculino,Pardo
2258.88,28,Ensino Médio,Feminino,Negro
3344.6,34,Ensino Médio,Masculino,Branco
4728.97,44,Graduação,Masculino,Pardo
4992.76,49,Graduação,Masculino,Branco
4607.98,28,Graduação,Feminino,Branco
12362.9,50,Mestrado,Masculino,Branco
